StartTime(UTC),EndTime(UTC),TimeZone,LocationLat,LocationLng,Distance(mi),AirportCode,Number,Street,Side,City,County,State,ZipCode
8/1/2016 0:03,8/1/2016 0:14,US/Pacific,38.214657,-122.602669,0,KO69,,Redwood Hwy S,R,Petaluma,Sonoma,CA,94952
8/1/2016 0:07,8/1/2016 0:18,US/Pacific,37.477329,-122.415703,0,KHAF,12685,San Mateo Rd,L,Half Moon Bay,San Mateo,CA,94019
8/1/2016 0:00,8/1/2016 0:18,US/Pacific,36.985863,-121.981026,0,KWVI,,State Highway 1,R,Santa Cruz,Santa Cruz,CA,95062
8/1/2016 0:08,8/1/2016 0:19,US/Pacific,37.105865,-121.613411,0,KE16,,S Valley Fwy S,R,San Martin,Santa Clara,CA,95046
8/1/2016 0:13,8/1/2016 0:27,US/Pacific,38.150387,-122.450569,0,KO69,,Sears Point Rd,R,Petaluma,Sonoma,CA,94954
8/1/2016 0:13,8/1/2016 0:27,US/Pacific,38.141319,-122.362198,0,KAPC,,Sears Point Rd,R,Vallejo,Solano,CA,94592
8/1/2016 0:16,8/1/2016 0:27,US/Pacific,37.748245,-122.203217,0,KOAK,,Nimitz Fwy S,R,Oakland,Alameda,CA,94621
8/1/2016 0:13,8/1/2016 0:27,US/Pacific,37.107147,-121.615044,0,KE16,,S Valley Fwy S,R,San Martin,Santa Clara,CA,95046
8/1/2016 0:01,8/1/2016 0:26,US/Pacific,36.859516,-121.603165,0,KCVH,,US-101 N,R,San Juan Bautista,San Benito,CA,95045
8/1/2016 0:25,8/1/2016 0:40,US/Pacific,37.81665,-122.478233,0,KSFO,,Golden Gate Brg S,R,San Francisco,San Francisco,CA,94129
8/1/2016 0:28,8/1/2016 0:39,US/Pacific,37.783672,-122.47261,0,KSFO,240,Park Presidio Blvd,L,San Francisco,San Francisco,CA,94118
8/1/2016 0:28,8/1/2016 0:39,US/Pacific,37.799683,-122.446198,0,KSFO,,Richardson Ave,R,San Francisco,San Francisco,CA,94123
8/1/2016 0:27,8/1/2016 0:38,US/Pacific,37.788483,-122.422035,0,KOAK,1401,Van Ness Ave,R,San Francisco,San Francisco,CA,94109
8/1/2016 0:27,8/1/2016 0:38,US/Pacific,37.480198,-122.406372,0,KHAF,12312,San Mateo Rd,R,Half Moon Bay,San Mateo,CA,94019
8/1/2016 0:19,8/1/2016 0:40,US/Pacific,38.254936,-122.340012,0,KAPC,4453,Sonoma Hwy,R,Napa,Napa,CA,94559
8/1/2016 0:27,8/1/2016 0:38,US/Pacific,37.77169,-122.223976,0,KOAK,,Nimitz Fwy S,R,Oakland,Alameda,CA,94601
8/1/2016 0:19,8/1/2016 0:37,US/Pacific,38.207676,-122.156708,0,KAPC,,Red Top Rd,R,American Canyon,Solano,CA,94503
8/1/2016 0:29,8/1/2016 0:39,US/Pacific,37.236397,-121.969971,0,KSJC,,CA-17 S,R,Los Gatos,Santa Clara,CA,95032
8/1/2016 0:28,8/1/2016 0:40,US/Pacific,37.536953,-121.930084,0,KNUQ,,I-680 N,R,Fremont,Alameda,CA,94539
8/1/2016 0:08,8/1/2016 0:36,US/Pacific,37.156082,-121.655746,0,KE16,,S Valley Fwy S,R,Morgan Hill,Santa Clara,CA,95037
8/1/2016 0:24,8/1/2016 0:36,US/Pacific,37.139675,-121.639366,0,KE16,,S Valley Fwy N,R,Morgan Hill,Santa Clara,CA,95037
8/1/2016 0:22,8/1/2016 0:34,US/Pacific,36.97123,-121.554001,0,KE16,4637,Monterey Rd,R,Gilroy,Santa Clara,CA,95020
8/1/2016 0:25,8/1/2016 0:37,US/Pacific,38.64183,-121.468452,0,KMCC,,I-80 W,R,Sacramento,Sacramento,CA,95838
8/1/2016 0:37,8/1/2016 0:48,US/Pacific,39.441841,-123.354591,0,KUKI,25011,N Highway 101,R,Willits,Mendocino,CA,95490
8/1/2016 0:31,8/1/2016 0:48,US/Pacific,38.199787,-122.598625,0,KO69,98,Gunn Dr,R,Petaluma,Sonoma,CA,94952
8/1/2016 0:35,8/1/2016 0:46,US/Pacific,37.475731,-122.43882,0,KHAF,911,Cabrillo Hwy N,R,Half Moon Bay,San Mateo,CA,94019
8/1/2016 0:36,8/1/2016 0:47,US/Pacific,37.490475,-122.389679,0,KHAF,11672,San Mateo Rd,R,Half Moon Bay,San Mateo,CA,94019
8/1/2016 0:19,8/1/2016 0:47,US/Pacific,38.257748,-122.318405,0,KAPC,3252,Sonoma Hwy,R,Napa,Napa,CA,94559
8/1/2016 0:35,8/1/2016 0:46,US/Pacific,38.240227,-122.267632,0,KAPC,1465,Napa Vallejo Hwy,R,Napa,Napa,CA,94558
8/1/2016 0:37,8/1/2016 0:48,US/Pacific,37.180233,-121.994324,0,KSJC,19795,Santa Cruz Hwy,R,Los Gatos,Santa Clara,CA,95033
8/1/2016 0:31,8/1/2016 0:47,US/Pacific,36.972183,-121.877686,0,KWVI,,State Highway 1,R,Aptos,Santa Cruz,CA,95003
8/1/2016 0:35,8/1/2016 0:48,US/Pacific,36.778297,-121.775291,0,KSNS,2077,Cabrillo Hwy,R,Castroville,Monterey,CA,95012
8/1/2016 0:37,8/1/2016 0:48,US/Pacific,39.291306,-120.688835,0,KBLU,,I-80 W,R,Alta,Placer,CA,95701
8/1/2016 0:46,8/1/2016 0:57,US/Pacific,38.13773,-122.563904,0,KDVO,,Redwood Hwy S,R,Novato,Marin,CA,94945
8/1/2016 0:41,8/1/2016 0:52,US/Pacific,37.79882,-122.444923,0,KSFO,1,Richardson Ave,L,San Francisco,San Francisco,CA,94123
8/1/2016 0:41,8/1/2016 0:55,US/Pacific,37.480179,-122.406769,0,KHAF,12314,San Mateo Rd,R,Half Moon Bay,San Mateo,CA,94019
8/1/2016 0:45,8/1/2016 0:57,US/Pacific,37.603191,-122.381554,0,KSFO,,Bayshore Fwy S,R,Millbrae,San Mateo,CA,94030
8/1/2016 0:46,8/1/2016 0:57,US/Pacific,37.196934,-121.993347,0,KSJC,,Santa Cruz Hwy,R,Los Gatos,Santa Clara,CA,95033
8/1/2016 0:44,8/1/2016 0:56,US/Pacific,37.105865,-121.613411,0,KE16,,S Valley Fwy S,R,San Martin,Santa Clara,CA,95046
8/1/2016 0:47,8/1/2016 1:05,US/Pacific,38.259411,-122.651115,0,KO69,,Redwood Hwy S,R,Petaluma,Sonoma,CA,94954
8/1/2016 0:46,8/1/2016 1:03,US/Pacific,38.147446,-122.565369,0,KDVO,,Redwood Hwy S,R,Novato,Marin,CA,94945
8/1/2016 0:50,8/1/2016 1:01,US/Pacific,37.833221,-122.294678,0,KOAK,,I-580 E,R,Emeryville,Alameda,CA,94608
8/1/2016 0:46,8/1/2016 1:03,US/Pacific,37.131981,-121.979988,0,KSJC,23401,Santa Cruz Hwy,L,Los Gatos,Santa Cruz,CA,95033
8/1/2016 0:49,8/1/2016 1:03,US/Pacific,37.536953,-121.930084,0,KNUQ,,I-680 N,R,Fremont,Alameda,CA,94539
8/1/2016 0:48,8/1/2016 1:07,US/Pacific,37.363674,-121.89743,0,KSJC,,US-101 N,R,San Jose,Santa Clara,CA,95112
8/1/2016 0:32,8/1/2016 1:07,US/Pacific,36.851177,-121.635818,0,KWVI,1222,Highway 101,L,Aromas,Monterey,CA,95004
8/1/2016 0:12,8/1/2016 1:02,US/Pacific,36.859295,-121.601082,0,KCVH,,US-101 N,R,San Juan Bautista,San Benito,CA,95045
8/1/2016 0:49,8/1/2016 1:04,US/Pacific,36.841774,-121.459831,0,KCVH,3885,San Juan Hwy,R,San Juan Bautista,San Benito,CA,95045
8/1/2016 0:54,8/1/2016 1:05,US/Pacific,36.96909,-121.383011,0,KCVH,,Pacheco Pass Hwy,R,Hollister,Santa Clara,CA,95023
8/1/2016 1:01,8/1/2016 1:16,US/Pacific,38.247765,-122.629318,0,KO69,,US-101 N,R,Petaluma,Sonoma,CA,94952
8/1/2016 1:06,8/1/2016 1:16,US/Pacific,37.499763,-122.467415,0,KHAF,3531,Cabrillo Hwy N,L,Half Moon Bay,San Mateo,CA,94019
8/1/2016 1:05,8/1/2016 1:16,US/Pacific,38.153328,-122.394966,0,KAPC,,Sears Point Rd,R,Vallejo,Solano,CA,94592
8/1/2016 0:48,8/1/2016 1:17,US/Pacific,37.817051,-122.354942,0,KOAK,,Bay Bridge Trl,R,San Francisco,San Francisco,CA,94130
8/1/2016 1:03,8/1/2016 1:14,US/Pacific,36.54356,-121.908493,0,KMRY,26286,Highway 1,R,Carmel,Monterey,CA,93923
8/1/2016 1:02,8/1/2016 1:13,US/Pacific,38.410965,-121.904152,0,KVCB,,I-80 E,R,Vacaville,Solano,CA,95687
8/1/2016 1:07,8/1/2016 1:19,US/Pacific,36.786869,-121.781929,0,KWVI,,Cabrillo Hwy,R,Moss Landing,Monterey,CA,95039
8/1/2016 1:01,8/1/2016 1:19,US/Pacific,37.103455,-121.60981,0,KE16,,S Valley Fwy N,R,San Martin,Santa Clara,CA,95046
8/1/2016 1:01,8/1/2016 1:16,US/Pacific,36.859917,-121.592804,0,KCVH,,CA-156 W,R,San Juan Bautista,San Benito,CA,95045
8/1/2016 1:16,8/1/2016 1:27,US/Pacific,38.261551,-122.655296,0,KO69,,Redwood Hwy S,R,Petaluma,Sonoma,CA,94954
8/1/2016 1:16,8/1/2016 1:27,US/Pacific,38.151211,-122.566673,0,KDVO,,Redwood Hwy,R,Novato,Marin,CA,94945
